,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
CPR,Cimpor Sgps (CPR),Stock Prices for Cimpor Sgps from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,27/09/2017 15:58,14/02/2014,26/09/2017,,TRUE
CPRL,Carpetright (CPRL),Stock Prices for Carpetright from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,14/08/2013,14/08/2013,,TRUE
CPRM,Davide Campari (CPRM),Stock Prices for Davide Campari from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,10/04/2013,10/04/2013,,TRUE
CRAP,Crcam Alp Prov Cci (CRAP),Stock Prices for Crcam Alp Prov Cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRAV,Crcam Atl Vend Cci (CRAV),Stock Prices for Crcam Atl Vend Cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRBBS,Carbios Bs (CRBBS),Stock Prices for Carbios Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,28/11/2018 17:15,24/11/2017,28/11/2018,,FALSE
CRBN,Corbion (CRBN),Stock Prices for Corbion from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRBP2,Crcam Brie Pic2cci (CRBP2),Stock Prices for Crcam Brie Pic2cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRBT,Courbet Am (CRBT),Stock Prices for Courbet Am from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Paris,10/01/2019 17:15,23/01/2013,18/10/2017,,TRUE
CRDAL,Croda Intl (CRDAL),Stock Prices for Croda Intl from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,27/08/2013,27/08/2013,,TRUE
CRGL,Crh Plc (CRGL),Stock Prices for Crh Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,30/04/2012,30/04/2012,,TRUE
CRGM,Banca Carige (CRGM),Stock Prices for Banca Carige from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,26/02/2013,26/02/2013,,TRUE
CRI,Chargeurs (CRI),Stock Prices for Chargeurs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRINV,Chargeurs Nv (CRINV),Stock Prices for Chargeurs Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,25/04/2018 17:15,05/03/2014,25/04/2018,,TRUE
CRLA,Crcam Langued Cci (CRLA),Stock Prices for Crcam Langued Cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRLO,Crcam Loire Hte L (CRLO),Stock Prices for Crcam Loire Hte L from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CROS,Crosswood (CROS),Stock Prices for Crosswood from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,31/01/2014,07/01/2019,,TRUE
CRSU,Crcam Sud R A Cci (CRSU),Stock Prices for Crcam Sud R A Cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRTO,Crcam Touraine Cci (CRTO),Stock Prices for Crcam Touraine Cci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CRYO,Cryo Save Group (CRYO),Stock Prices for Cryo Save Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,03/07/2014 17:04,14/02/2014,02/07/2014,,TRUE
CS,Axa (CS),Stock Prices for Axa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CSABS,Cesar Bsar (CSABS),Stock Prices for Cesar Bsar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,21/04/2015 15:59,24/02/2014,15/04/2015,,TRUE
CSAX5,Axa Nov5 (CSAX5),Stock Prices for Axa Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,03/11/2015 15:58,21/11/2014,21/11/2014,,TRUE
CSDS,Cs Communicationds (CSDS),Stock Prices for Cs Communicationds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/07/2018 17:15,05/07/2018,13/07/2018,,FALSE
CSGNZ,Cs Group N (CSGNZ),Stock Prices for Cs Group N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:30,14/02/2014,02/05/2014,,TRUE
CSNV,Axa Nv19 (CSNV),Stock Prices for Axa Nv19 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CSRL,Csr Plc (CSRL),Stock Prices for Csr Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,28/08/2013,28/08/2013,,TRUE
CSTM,Constellium (CSTM),Stock Prices for Constellium from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/02/2018 17:15,22/10/2013,01/02/2018,,TRUE
CSX5,Axa Nov5 (CSX5),Stock Prices for Axa Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,02/11/2015 15:58,21/11/2014,21/11/2014,,TRUE
CTAC,Ctac (CTAC),Stock Prices for Ctac from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CTRG,Catering Intl Sces (CTRG),Stock Prices for Catering Intl Sces from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CTT,Ctt Correios Port (CTT),Stock Prices for Ctt Correios Port from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
CTYL,City Of London Inv (CTYL),Stock Prices for City Of London Inv from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,04/07/2013,04/07/2013,,TRUE
CU,Club Mediterranee (CU),Stock Prices for Club Mediterranee from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,22/03/2015 15:58,14/02/2014,10/03/2015,,TRUE
CUR,Aguas Da Curia (CUR),Stock Prices for Aguas Da Curia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Lisbon,10/01/2019 17:15,25/07/2013,06/09/2017,,TRUE
CURE,Curetis (CURE),"Stock Prices for Curetis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,11/11/2015,10/01/2019,,TRUE
CUT,Club Mediterranee (CUT),Stock Prices for Club Mediterranee from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,11/03/2015 16:08,21/05/2014,10/03/2015,,TRUE
CV,Zci Limited (CV),Stock Prices for Zci Limited from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,04/08/2015,,TRUE
CVG,Crown Van Gelder (CVG),Stock Prices for Crown Van Gelder from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,23/04/2015 15:59,14/02/2014,23/04/2015,,TRUE
CVX,Chevron Cert (CVX),Stock Prices for Chevron Cert from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Brussels,31/05/2014 17:03,19/02/2014,28/05/2014,,TRUE
CWCL,Cable Wireless Com (CWCL),Stock Prices for Cable Wireless Com from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,20/08/2013,20/08/2013,,TRUE
CWIV,Conwert Immobilien (CWIV),Stock Prices for Conwert Immobilien from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,15/07/2013,15/07/2013,,TRUE
CWKL,Cranswick (CWKL),Stock Prices for Cranswick from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,29/08/2013,29/08/2013,,TRUE
CYAD,Celyad (CYAD),"Stock Prices for Celyad from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels, Paris",10/01/2019 17:15,05/05/2015,10/01/2019,,TRUE
CYBBS,Cybergun Bsa 1 (CYBBS),Stock Prices for Cybergun Bsa 1 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,31/07/2018,26/11/2018,,FALSE
CYBBT,Cybergun Bsa 2 (CYBBT),Stock Prices for Cybergun Bsa 2 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,30/07/2018,12/12/2018,,FALSE
CYBDS,Cybergun Ds (CYBDS),Stock Prices for Cybergun Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,16/07/2018 17:15,17/07/2014,13/07/2018,,TRUE
CYBSA,Cybergun Bsa (CYBSA),Stock Prices for Cybergun Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,30/12/2016 15:58,27/10/2015,29/12/2016,,TRUE
CYBSB,Cybergun Bsb (CYBSB),Stock Prices for Cybergun Bsb from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,29/12/2017 17:15,27/10/2015,28/12/2017,,TRUE
DABL,Dexion Absolut Gbp (DABL),Stock Prices for Dexion Absolut Gbp from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,18/07/2013,18/07/2013,,TRUE
DAID,Daimler (DAID),Stock Prices for Daimler from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,26/08/2013,26/08/2013,,TRUE
DALM,Datalogic (DALM),Stock Prices for Datalogic from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,21/03/2012,21/03/2012,,TRUE
DAN,Dane Elec Memory (DAN),Stock Prices for Dane Elec Memory from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/11/2017 15:58,27/02/2013,27/02/2013,,TRUE
DANM,Danieli C Officine (DANM),Stock Prices for Danieli C Officine from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,27/02/2012,27/02/2012,,TRUE
DANSKC,Danske Bank (DANSKC),Stock Prices for Danske Bank from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:32,06/03/2013,06/03/2013,,TRUE
DB1D,Deutsche Boerse (DB1D),Stock Prices for Deutsche Boerse from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,20/08/2013,20/08/2013,,TRUE
DBG,Derichebourg (DBG),Stock Prices for Derichebourg from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DBKD,Deutsche Bank (DBKD),Stock Prices for Deutsche Bank from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,12/12/2013,12/12/2013,,TRUE
DBT,Encres Dubuit (DBT),Stock Prices for Encres Dubuit from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,12/12/2017 17:15,14/02/2014,12/12/2017,,TRUE
DBV,Dbv Technologies (DBV),Stock Prices for Dbv Technologies from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DCGL,Dairy Crest Group (DCGL),Stock Prices for Dairy Crest Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,29/08/2013,29/08/2013,,TRUE
DEBL,Debenhams (DEBL),Stock Prices for Debenhams from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,28/08/2013,28/08/2013,,TRUE
DEC,Jc Decaux Sa (DEC),Stock Prices for Jc Decaux Sa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DECB,Deceuninck (DECB),Stock Prices for Deceuninck from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DECNV,Jc Decaux Sa Nv18 (DECNV),Stock Prices for Jc Decaux Sa Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,21/05/2018 17:15,14/02/2014,26/03/2018,,TRUE
DECT,Jcdecaux Sa (DECT),Stock Prices for Jcdecaux Sa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,13/07/2015 15:59,08/07/2015,13/07/2015,,TRUE
DEFB,Deficom Group (DEFB),Stock Prices for Deficom Group from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,31/03/2014 17:08,24/01/2014,19/03/2014,,TRUE
DEIDS,Deinove Ds (DEIDS),Stock Prices for Deinove Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,14/12/2015 15:58,30/11/2015,11/12/2015,,TRUE
DELB,Delhaize Group (DELB),Stock Prices for Delhaize Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,25/07/2016 15:58,14/02/2014,22/07/2016,,TRUE
DEPCF,Aareal Bkcap Fd Tr (DEPCF),Stock Prices for Aareal Bkcap Fd Tr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,28/03/2017 15:58,14/02/2014,28/03/2017,,TRUE
DEQD,Deutsche Euroshop (DEQD),Stock Prices for Deutsche Euroshop from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,08/08/2013,08/08/2013,,TRUE
DETNOO,Det Norske Oljesel (DETNOO),Stock Prices for Det Norske Oljesel from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:32,04/01/2013,04/01/2013,,TRUE
DEVR,Devernois (DEVR),Stock Prices for Devernois from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,29/07/2016 15:58,30/01/2014,20/05/2016,,TRUE
DEXB,Dexia (DEXB),Stock Prices for Dexia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DEXBT,Dexia (DEXBT),"Stock Prices for Dexia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels, Paris",03/03/2016 15:58,02/03/2016,02/03/2016,,TRUE
DG,Vinci (DG),Stock Prices for Vinci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DGB,Dgb Group N V (DGB),Stock Prices for Dgb Group N V from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,11/01/2018,10/01/2019,,FALSE
DGE,Diageo (DGE),Stock Prices for Diageo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DGEL,Diageo (DGEL),Stock Prices for Diageo from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,28/08/2013,06/03/2014,,TRUE
DGM,Diagnostic Medical (DGM),Stock Prices for Diagnostic Medical from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DGMBS,Diagnostic Bs (DGMBS),Stock Prices for Diagnostic Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/06/2017 15:58,24/12/2014,23/06/2017,,TRUE
DGMT,Diagnostic Medical (DGMT),Stock Prices for Diagnostic Medical from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,20/07/2016 15:58,20/07/2016,20/07/2016,,TRUE
DGNV,Vinci Nv18 (DGNV),Stock Prices for Vinci Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/04/2018 17:16,14/02/2014,23/04/2018,,TRUE
DGOL,Dragon Oil (DGOL),Stock Prices for Dragon Oil from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,30/07/2012,30/07/2012,,TRUE
DI8SA,Santadi14(47p1) (DI8SA),Stock Prices for Santadi14(47p1) from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Lisbon,23/04/2014 17:45,17/04/2014,22/04/2014,,TRUE
DI9SA,Santadi14(49p1) (DI9SA),Stock Prices for Santadi14(49p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,24/07/2014 17:09,18/07/2014,24/07/2014,,TRUE
DIAE,Dia (DIAE),Stock Prices for Dia from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,04/12/2012,04/12/2012,,TRUE
DIAM,Diasorin (DIAM),Stock Prices for Diasorin from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,10/04/2013,10/04/2013,,TRUE
DIBSA,Santadi15(44p1) (DIBSA),Stock Prices for Santadi15(44p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,26/01/2015 17:07,16/01/2015,26/01/2015,,TRUE
DIBSB,Santadi15(46p1) (DIBSB),Stock Prices for Santadi15(46p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,26/04/2015 15:59,16/04/2015,24/04/2015,,TRUE
DIBSC,Santadi15(103p1) (DIBSC),Stock Prices for Santadi15(103p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,01/11/2015 15:58,22/10/2015,30/10/2015,,TRUE
DIBSD,Santadi16(87p1) (DIBSD),Stock Prices for Santadi16(87p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,28/10/2016 15:58,20/10/2016,28/10/2016,,TRUE
DIBSE,Santandi17(142p1) (DIBSE),Stock Prices for Santandi17(142p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,30/10/2017 15:58,20/10/2017,27/10/2017,,FALSE
DICO,Dico International (DICO),Stock Prices for Dico International from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,19/01/2016 15:58,14/02/2014,18/01/2016,,TRUE
DIE,D''ieteren (DIE),Stock Prices for D''ieteren from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DIEG,Diegem Kennedycert (DIEG),Stock Prices for Diegem Kennedycert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DIG,Digigram (DIG),Stock Prices for Digigram from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
DIGL,Dunedin Income Gro (DIGL),Stock Prices for Dunedin Income Gro from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,29/05/2013,29/05/2013,,TRUE
DIM,Sartorius Sted Bio (DIM),Stock Prices for Sartorius Sted Bio from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DIMT,Sartorius Sted Bio (DIMT),Stock Prices for Sartorius Sted Bio from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,05/05/2016 15:58,05/05/2016,05/05/2016,,TRUE
DIREN,Direct Energie (DIREN),Stock Prices for Direct Energie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,26/09/2018 17:15,18/11/2015,19/09/2018,,TRUE
DISL,Distri-land Cert (DISL),Stock Prices for Distri-land Cert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,13/02/2014,10/01/2019,,TRUE
DJANL,Daejan Holdings (DJANL),Stock Prices for Daejan Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,28/08/2013,28/08/2013,,TRUE
DKSHZ,Dksh Holding (DKSHZ),Stock Prices for Dksh Holding from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:31,26/11/2012,26/11/2012,,TRUE
DL,Delta Lloyd (DL),"Stock Prices for Delta Lloyd from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",31/05/2017 15:58,14/02/2014,31/05/2017,,TRUE
DLARL,De La Rue (DLARL),Stock Prices for De La Rue from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,29/08/2013,29/08/2013,,TRUE
DLGM,De Longhi (DLGM),Stock Prices for De Longhi from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,20/04/2012,20/04/2012,,TRUE
DLNL,Derwent London (DLNL),Stock Prices for Derwent London from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,19/08/2013,19/08/2013,,TRUE
DLRI,Delta Lloyd Rights (DLRI),"Stock Prices for Delta Lloyd Rights from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",06/04/2016 15:58,24/03/2016,06/04/2016,,TRUE
DLT,Dalet (DLT),Stock Prices for Dalet from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DLTA,Delta Plus Group (DLTA),Stock Prices for Delta Plus Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DLTAT,Delta Plus Group (DLTAT),Stock Prices for Delta Plus Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,25/09/2017 15:58,01/09/2015,25/09/2017,,TRUE
DMGDS,Diagnostic Medi Ds (DMGDS),Stock Prices for Diagnostic Medi Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,15/12/2014 17:13,02/12/2014,15/12/2014,,TRUE
DMGTL,Dly Mail&gen Tst A (DMGTL),Stock Prices for Dly Mail&gen Tst A from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,02/08/2013,02/08/2013,,TRUE
DMOBR,Demosbsar28jul16 (DMOBR),Stock Prices for Demosbsar28jul16 from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,28/07/2016 15:58,21/01/2014,01/07/2016,,TRUE
DMODS,Demos Ds (DMODS),Stock Prices for Demos Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,29/07/2014 16:57,15/07/2014,29/07/2014,,TRUE
DNBO,Dnb (DNBO),Stock Prices for Dnb from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:31,21/02/2013,21/02/2013,,TRUE
DNLML,Dunelm Group (DNLML),Stock Prices for Dunelm Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,29/08/2013,29/08/2013,,TRUE
DNOL,Domino Printing (DNOL),Stock Prices for Domino Printing from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,19/08/2013,19/08/2013,,TRUE
DNOO,Dno International (DNOO),Stock Prices for Dno International from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:29,31/01/2013,31/01/2013,,TRUE
DNORDC,D/s Norden (DNORDC),Stock Prices for D/s Norden from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:29,10/07/2012,10/07/2012,,TRUE
DNX,Dnxcorp (DNX),Stock Prices for Dnxcorp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DOCD,Doc Data (DOCD),Stock Prices for Doc Data from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,28/02/2018 17:15,14/02/2014,28/02/2018,,TRUE
DOML,Domino-s Pizza G (DOML),Stock Prices for Domino-s Pizza G from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,08/08/2013,08/08/2013,,TRUE
DOMS,Dom Security (DOMS),Stock Prices for Dom Security from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,20/11/2018 17:15,30/07/2015,20/11/2018,,TRUE
DP,Irdnordpasdecalais (DP),Stock Prices for Irdnordpasdecalais from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,30/08/2016 15:58,14/02/2014,30/08/2016,,TRUE
DPA,Dpa Group (DPA),Stock Prices for Dpa Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DPAM,Dock Petr Ambes Am (DPAM),Stock Prices for Dock Petr Ambes Am from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,17/02/2014,09/01/2019,,TRUE
DPBD,Deutsche Postbank (DPBD),Stock Prices for Deutsche Postbank from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,16/01/2013,16/01/2013,,TRUE
DPHL,Dechra Pharmaceuti (DPHL),Stock Prices for Dechra Pharmaceuti from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,22/08/2013,22/08/2013,,TRUE
DPT,St Dupont (DPT),Stock Prices for St Dupont from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DPWD,Deutsche Post (DPWD),Stock Prices for Deutsche Post from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,14/02/2014,24/04/2014,,TRUE
DRD,Drdgold Cert Belg (DRD),Stock Prices for Drdgold Cert Belg from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,31/05/2014 17:03,14/02/2014,30/05/2014,,TRUE
DRDS,Delta Drone Ds (DRDS),Stock Prices for Delta Drone Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,22/09/2014 17:04,10/09/2014,22/09/2014,,TRUE
DRID,Drillisch (DRID),Stock Prices for Drillisch from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,15/08/2013,15/08/2013,,TRUE
DRTY,Darty Plc (DRTY),Stock Prices for Darty Plc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/08/2016 15:58,14/02/2014,12/08/2016,,TRUE
DRTYL,Darty Plc (DRTYL),Stock Prices for Darty Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,16/08/2013,16/08/2013,,TRUE
DRVBS,Drone Volt Bs (DRVBS),Stock Prices for Drone Volt Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,30/07/2015,31/03/2017,,TRUE
DRVDS,Drone Volt Ds (DRVDS),Stock Prices for Drone Volt Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,21/11/2017 17:15,09/11/2017,21/11/2017,,FALSE
DRVT,Drone Volt (DRVT),Stock Prices for Drone Volt from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,13/01/2016 15:58,08/01/2016,12/01/2016,,TRUE
DRXI,Elan Corp (DRXI),Stock Prices for Elan Corp from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,09/01/2013,09/01/2013,,TRUE
DRXL,Drax Group (DRXL),Stock Prices for Drax Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,16/12/2013,28/04/2014,,TRUE
