,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
ACAX5,Credit Agrico Nov5 (ACAX5),Stock Prices for Credit Agrico Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,21/11/2014,21/11/2014,,TRUE
ACCB,Accentis (ACCB),Stock Prices for Accentis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ACCEL,Accell Group (ACCEL),Stock Prices for Accell Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ACEM,Acea (ACEM),Stock Prices for Acea from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,30/03/2012,30/03/2012,,TRUE
ACKB,Ackermans V Haaren (ACKB),Stock Prices for Ackermans V Haaren from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ACM5,Accor Jun5 (ACM5),Stock Prices for Accor Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 15:59,13/06/2014,13/06/2014,,TRUE
ACNV,Accor Nv18 (ACNV),Stock Prices for Accor Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/05/2018 17:15,23/01/2014,07/05/2018,,TRUE
ACOMO,Amsterdam Commod (ACOMO),Stock Prices for Amsterdam Commod from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ACPH,Acacia Pharma (ACPH),Stock Prices for Acacia Pharma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,05/03/2018,10/01/2019,,FALSE
ACSE,Acs (ACSE),Stock Prices for Acs from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,27/04/2012,27/04/2012,,TRUE
ACTDS,Actiplay(groupe)ds (ACTDS),Stock Prices for Actiplay(groupe)ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,29/11/2018 17:15,15/11/2018,29/11/2018,,FALSE
